"kommunenr_2024","år","kommunenr_hist_kilder","Y_4_ialt","folk_0_66","folk_67_79","folk_80p","folk_ialt","Y_1_a_ialt","Y_1_a_0_66","Y_1_a_67_79","Y_1_a_80p","Y_2_ialt","Y_3_a_ialt","Y_3_a_0_66","Y_3_a_67_79","Y_3_a_80p","Y_5_ialt"
"1119",2015,"1119",7.21,16579,1361,588,18528,574,292,79,203,50,110,15,18,77,97.015
"1119",2016,"1119",7.395,16574,1420,597,18591,560,291,82,187,59,112,15,25,72,105.09
"1119",2017,"1119",7.3,16683,1528,589,18800,578,310,,173,61,113,22,30,61,108.01
"1119",2018,"1119",8,16582,1589,591,18762,571,302,,171,60,107,19,31,57,112.14
"1119",2019,"1119",7.8,16560,1641,613,18814,584,323,,165,60,108,17,34,57,107.88
"1119",2020,"1119",7.8,16619,1720,652,18991,592,321,,169,53,117,14,30,73,115.015
"1119",2021,"1119",7.4,16618,1824,678,19120,584,305,,180,54,108,16,26,66,103.9
"1119",2022,"1119",8.3,16731,1882,683,19296,604,329,,178,54,109,15,30,64,104.775
"1119",2023,"1119",8.4,17000,1944,705,19649,603,330,,173,51,108,15,31,62,111.865
"1119",2024,"1119",8,17060,2010,757,19827,642,366,,168,56,93,15,27,51,106
"1119",2025,"1119",8.8,17215,2080,772,20067,616,344,,164,48,93,16,26,51,108
"1120",2007,"1120",,13934,942,395,15271,452,220,80,152,,,,,,
"1120",2008,"1120",4.1,14452,965,422,15839,466,231,69,166,28,,,,,
"1120",2009,"1120",5,14939,982,429,16350,470,233,79,158,26,61,0,,48,
"1120",2010,"1120",3.5,15441,1045,432,16918,472,231,74,167,40,63,0,,48,
"1120",2011,"1120",5.3,15835,1117,445,17397,497,250,85,162,34,67,0,,53,
"1120",2012,"1120",5.5,16108,1183,455,17746,499,259,94,146,124,71,0,,52,
"1120",2013,"1120",5.9,16498,1275,454,18227,496,257,87,152,53,73,,15,53,
"1120",2014,"1120",5.2,16667,1353,465,18485,487,269,76,142,32,57,0,,46,
"1120",2015,"1120",6.295,16841,1433,467,18741,495,285,71,139,22,64,0,,49,112.18
"1120",2016,"1120",16.895,16959,1525,486,18970,552,317,89,146,30,63,,12,47,116.75
"1120",2017,"1120",12.7,16915,1628,499,19042,575,343,,144,33,70,,15,48,101.06
"1120",2018,"1120",11.1,17022,1681,514,19217,568,352,,143,26,66,,15,44,106.08
"1120",2019,"1120",9.7,17096,1712,546,19354,571,367,,133,33,66,,18,45,97.85
"1120",2020,"1120",5.1,17268,1739,581,19588,628,404,,142,36,67,,17,47,97.865
"1120",2021,"1120",3.9,17478,1776,594,19848,710,472,,152,44,70,,16,49,91.92
"1120",2022,"1120",4.2,17744,1792,627,20163,722,486,,144,36,65,,,55,88.07
"1120",2023,"1120",3.7,18157,1815,643,20615,800,545,,154,38,65,,,55,91.175
"1120",2024,"1120",4,18350,1861,689,20900,803,561,,141,39,61,,,47,96
"1120",2025,"1120",3.8,18583,1878,725,21186,782,532,,149,39,60,,,46,98
"1121",2007,"1121",,13552,1020,476,15048,409,190,69,150,,,,,,
"1121",2008,"1121",5.3,13940,1033,486,15459,432,199,79,154,48,,,,,
"1121",2009,"1121",6.6,14283,1059,494,15836,446,193,87,166,47,79,5,14,60,
"1121",2010,"1121",5.9,14483,1095,499,16077,447,196,74,177,41,80,,13,63,
"1121",2011,"1121",5.2,14802,1140,508,16450,441,188,83,170,40,76,,12,61,
"1121",2012,"1121",5.8,15077,1184,508,16769,454,192,89,173,40,77,,13,61,
"1121",2013,"1121",6.1,15641,1268,528,17437,482,211,93,178,31,76,,18,53,
"1121",2014,"1121",5.3,16036,1326,535,17897,522,261,90,171,36,77,,19,53,
"1121",2015,"1121",6.115,16372,1382,552,18306,535,272,92,171,36,74,,16,55,84.89
"1121",2016,"1121",8.575,16562,1437,573,18572,532,296,91,145,32,79,,18,58,85.795
"1121",2017,"1121",9.9,16546,1517,593,18656,542,309,,155,32,80,,,56,92.16
"1121",2018,"1121",10.9,16526,1548,625,18699,568,315,,164,32,75,,22,34,93.945
"1121",2019,"1121",9.5,16535,1619,641,18795,577,314,,172,26,73,,,54,91.985
"1121",2020,"1121",9.6,16587,1668,661,18916,585,328,,166,71,76,,16,60,107.18
"1121",2021,"1121",8.7,16663,1759,684,19106,650,352,,188,70,75,,,60,102.775
"1121",2022,"1121",7.7,16791,1853,709,19353,748,434,,203,78,77,,,61,106.81
"1121",2023,"1121",7.9,17106,1943,732,19781,685,387,,191,71,77,,15,58,113.965
"1121",2024,"1121",8.5,17143,2020,747,19910,616,328,,180,61,75,,18,53,117
"1121",2025,"1121",9,17295,2092,770,20157,615,330,,185,65,76,,,57,118
"1122",2007,"1122",,8933,419,269,9621,210,99,22,89,,,,,,
"1122",2008,"1122",8.1,9036,446,247,9729,224,119,24,81,45,,,,,
"1122",2009,"1122",7.1,9264,462,243,9969,240,149,21,70,42,18,,,13,
"1122",2010,"1122",9.1,9473,499,236,10208,244,143,27,74,42,20,,,14,
"1122",2011,"1122",9.1,9747,529,232,10508,259,149,25,85,53,17,,,10,
"1122",2012,"1122",9.2,9997,542,239,10778,261,159,26,76,47,19,0,,14,
"1122",2013,"1122",9.2,10223,579,237,11039,273,165,34,74,54,17,,,6,
"1122",2014,"1122",8.4,10466,620,231,11317,295,175,40,80,52,17,,,8,
"1122",2015,"1122",8.08,10670,695,235,11600,316,189,44,83,54,17,,,8,44.2
"1122",2016,"1122",8.81,10864,746,243,11853,341,219,45,77,54,16,0,6,,47.13
"1122",2017,"1122",9.5,10861,793,248,11902,333,203,,85,55,18,,6,6,45.22
"1122",2018,"1122",8.3,10780,816,270,11866,349,221,,80,64,20,,8,7,44.975
"1122",2019,"1122",9.2,10757,884,258,11899,374,241,,81,64,19,,6,7,50.81
"1122",2020,"1122",8.5,10816,907,279,12002,380,247,,78,67,17,,,12,54.23
"1122",2021,"1122",8.9,10814,963,287,12064,369,229,,86,61,15,,,6,55.225
"1122",2022,"1122",10.3,10831,1001,299,12131,354,203,,98,61,29,,6,17,56.775
"1122",2023,"1122",9.1,10933,1040,329,12302,385,250,,87,61,36,,7,22,66.87
"1122",2024,"1122",8.7,10944,1076,342,12362,425,281,,79,61,27,,6,11,66
"1122",2025,"1122",8.1,11072,1135,329,12536,463,306,,89,61,25,,8,13,70
"1124",2007,"1124",,18791,1336,539,20666,406,194,73,139,,,,,,
"1124",2008,"1124",3.5,19497,1377,572,21446,438,214,71,153,61,,,,,
"1124",2009,"1124",2.8,20064,1423,589,22076,474,241,85,148,59,117,,22,89,
"1124",2010,"1124",2.8,20737,1486,608,22831,493,239,85,169,60,117,,19,91,
"1124",2011,"1124",3.3,21179,1553,618,23350,512,242,92,178,67,116,,17,91,
"1124",2012,"1124",3.4,21599,1636,642,23877,526,247,94,185,68,113,,19,87,
"1124",2013,"1124",4.2,22229,1694,656,24579,509,243,91,175,62,116,,21,88,
"1124",2014,"1124",4.3,22607,1789,687,25083,525,260,93,172,53,128,,22,95,
"1124",2015,"1124",4.2,23142,1866,700,25708,548,288,88,172,50,122,,18,94,146
"1124",2016,"1124",4.605,23456,1903,737,26096,545,303,81,161,37,122,,20,91,147.98
"1124",2017,"1124",4.4,23272,1973,771,26016,594,341,,170,37,126,,22,95,142.16
"1124",2018,"1124",4.2,23399,2057,809,26265,669,375,,198,36,123,,24,90,141.075
"1124",2019,"1124",4.8,23628,2132,822,26582,695,397,,198,46,125,,26,89,131.825
"1124",2020,"1124",5.1,24058,2218,877,27153,706,425,,182,42,138,11,26,101,135.115
"1124",2021,"1124",5.1,24291,2269,897,27457,783,459,,190,42,136,11,23,102,138.105
"1124",2022,"1124",5.4,24279,2360,929,27568,872,523,,210,57,136,,25,100,146.92
"1124",2023,"1124",7.6,24910,2433,972,28315,935,563,,235,59,143,,31,102,159.835
"1124",2024,"1124",8.8,25143,2512,1030,28685,953,589,,242,57,145,12,30,103,166
"1124",2025,"1124",10,25487,2573,1093,29153,886,537,,230,44,140,11,31,98,167
"1127",2007,"1127",,8669,622,210,9501,254,163,34,57,,,,,,
"1127",2008,"1127",5.1,8740,666,216,9622,263,162,36,65,79,,,,,
"1127",2009,"1127",5.9,8939,702,226,9867,276,160,40,76,50,12,0,,7,
