"kommunenr_2024","år","timer","kilder"
"1566",2021,20953,"1566"
"1566",2022,22936,"1566"
"1566",2023,22565,"1566"
"1566",2024,18963,"1566"
"1566",2025,22765,"1566"
"1573",2009,18637,"1573"
"1573",2010,21909,"1573"
"1573",2011,22967,"1573"
"1573",2012,24253,"1573"
"1573",2013,26245,"1573"
"1573",2014,17863,"1573"
"1573",2015,16154,"1573"
"1573",2016,14479,"1573"
"1573",2017,16388,"1573"
"1573",2018,15251,"1573"
"1573",2019,22398,"1573"
"1573",2020,23393,"1573"
"1573",2021,23093,"1573"
"1573",2022,18855,"1573"
"1573",2023,19695,"1573"
"1573",2024,17737,"1573"
"1573",2025,12979,"1573"
"1576",2009,53879,"1569+1572+1576"
"1576",2010,52459,"1569+1572+1576"
"1576",2011,40963,"1569+1572+1576"
"1576",2012,47353,"1569+1572+1576"
"1576",2013,46106,"1569+1572+1576"
"1576",2014,39219,"1569+1572+1576"
"1576",2015,39110,"1569+1572+1576"
"1576",2016,37199,"1569+1572+1576"
"1576",2017,44328,"1569+1572+1576"
"1576",2018,51426,"1569+1572+1576"
"1576",2019,66076,"1569+1572+1576"
"1576",2020,72827,"1569+1572+1576"
"1576",2021,84446,"1569+1572+1576"
"1576",2022,72527,"1569+1572+1576"
"1576",2023,61086,"1569+1572+1576"
"1576",2024,56732,"1569+1572+1576"
"1576",2025,51084,"1569+1572+1576"
"1577",2009,65012,"1444+1519+1577"
"1577",2010,62045,"1444+1519+1577"
"1577",2011,66297,"1444+1519+1577"
"1577",2012,87377,"1444+1519+1577"
"1577",2013,100342,"1444+1519+1577"
"1577",2014,107741,"1444+1519+1577"
"1577",2015,96087,"1444+1519+1577"
"1577",2016,92194,"1444+1519+1577"
"1577",2017,104720,"1444+1519+1577"
"1577",2018,130877,"1444+1519+1577"
"1577",2019,115586,"1444+1519+1577"
"1577",2020,114647,"1444+1519+1577"
"1577",2021,145735,"1444+1519+1577"
"1577",2022,157105,"1444+1519+1577"
"1577",2023,167445,"1444+1519+1577"
"1577",2024,179711,"1444+1519+1577"
"1577",2025,189792,"1444+1519+1577"
"1578",2009,22012,"1524+1526+1578"
"1578",2010,21744,"1524+1526+1578"
"1578",2011,19776,"1524+1526+1578"
"1578",2012,17641,"1524+1526+1578"
"1578",2013,19646,"1524+1526+1578"
"1578",2014,21124,"1524+1526+1578"
"1578",2015,20814,"1524+1526+1578"
"1578",2016,18561,"1524+1526+1578"
"1578",2017,16651,"1524+1526+1578"
"1578",2018,17519,"1524+1526+1578"
"1578",2019,14702,"1524+1526+1578"
