"kommunenr_2024","år","y2s_predikert","y2s_nedre","y2s_ovre","n_bootstrap_ok"
"1134",2026,48.8645676216813,48.0073234480543,49.1573658665949,60
"1134",2027,50.1404404435814,48.9573521464918,50.6868051391898,60
"1134",2028,51.4805978952751,49.9710239031002,52.3333715601369,60
"1134",2029,53.0746044103024,51.227343755777,54.4148126702374,60
"1134",2030,54.7990813968117,52.6105868441079,56.7483700527706,60
"1134",2031,56.7696474266238,54.2332101015631,59.5434847586633,60
"1134",2032,59.1675061598077,56.2351968842592,63.1477282014561,60
"1134",2033,61.4536115901477,57.9205623508261,66.5788701549156,60
"1134",2034,64.4555755390127,60.0743541448818,71.4099725485661,60
"1134",2035,67.2643829400096,62.0939872017407,75.9235210793963,60
"1134",2036,70.0214684617095,64.07509417279,80.3695249329322,60
"1134",2037,73.6049975057864,66.5693242493089,86.5086947164107,60
"1134",2038,76.8933372535643,68.8804813829456,92.1331150041145,60
"1134",2039,80.3993823013946,71.5765579740263,98.254430616829,60
"1134",2040,83.8769099682028,74.2473210497568,104.373559912566,60
"1134",2041,87.0566066764547,76.6753653566357,109.884262808847,60
"1134",2042,91.5918925888401,80.2016109757638,118.379517841407,60
"1134",2043,94.0481763760229,82.0421319123541,122.345506198123,60
"1134",2044,98.2076540514016,85.2595177894587,130.13296602115,60
