"kommunenr_2024","år","folk_ialt","demens_estimert","demensandel","y5p_predikert","y5p_predikert_modell"
"1122",2048,14347,483.936116,0.0337308228898027,71.1574683650871,71.2513171514455
"1122",2049,14395,501.2386,0.0348203265022577,71.7088913201334,71.7754715014374
"1122",2050,14437,514.891847,0.0356647396966129,72.2078097216596,72.2078097216596
"1124",2026,29290,483.644678,0.0165122798907477,166.434810528365,161.348105283645
"1124",2027,29517,507.64819,0.0171985022190602,166.45105156061,163.007647713529
"1124",2028,29736,529.377346,0.0178025741861716,166.576624828045,164.580713303115
"1124",2029,29952,552.097176,0.0184327315705128,166.821324809999,166.159175576466
"1124",2030,30163,575.329552,0.0190740162450685,167.180771104625,167.723084418501
"1124",2031,30370,599.345358,0.0197347829436944,167.656422724109,169.283209475162
"1124",2032,30572,626.351189,0.0204877400562606,168.260884918142,170.879645901975
"1124",2033,30771,649.546737,0.021109055181827,168.951583297318,172.383678061568
"1124",2034,30967,678.519904,0.0219110635192301,169.796765119757,173.991912799392
"1124",2035,31161,706.239135,0.0226641999614903,170.747373430365,175.565424983692
"1124",2036,31353,731.67159,0.0233365735336331,171.789247063186,177.082625396181
"1124",2037,31539,762.182883,0.0241663617426044,172.983553675243,178.675226683401
"1124",2038,31719,788.257469,0.0248512711308679,174.23040612415,180.146192953
"1124",2039,31893,818.822183,0.0256740407926504,175.625056670645,181.680947524502
"1124",2040,32060,849.480458,0.0264965832189644,177.114484263436,183.183174821498
"1124",2041,32221,880.815649,0.0273366949815338,178.706577659214,184.6703059007
"1124",2042,32376,912.316234,0.0281787816283667,180.392199517987,186.131713597124
"1124",2043,32524,941.750439,0.0289555540216456,182.129935676845,187.515167019451
"1124",2044,32665,978.726513,0.0299625444053268,184.068441870293,189.023795961668
"1124",2045,32798,1012.650649,0.030875378041344,186.035965866894,190.428881066946
"1124",2046,32923,1045.936101,0.0317691614069192,188.064082203459,191.781273180541
"1124",2047,33040,1079.448034,0.032670945338983,190.163207286842,193.099388492216
"1124",2048,33148,1111.273671,0.033524606944612,192.286821637596,194.337104473077
"1124",2049,33247,1149.449631,0.0345730330856919,194.592220385976,195.667241959456
"1124",2050,33338,1183.065036,0.0354869829023937,196.860513430032,196.860513430032
"1127",2026,11867,237.544137,0.0200172020729755,78.25709369467,71.5709369467003
"1127",2027,11941,247.868902,0.02075780102169,78.066760305407,72.2128022211421
"1127",2028,12016,260.091785,0.021645454810253,77.9330136359052,72.9029350623154
"1127",2029,12089,269.694092,0.0223090488874183,77.8364085366627,73.5242754666479
"1127",2030,12160,280.956003,0.0231049344572368,77.7929837931574,74.1719351726294
"1127",2031,12230,291.838342,0.0238624973017171,77.7942634090199,74.8061335965909
"1127",2032,12298,302.722093,0.0246155548056595,77.8396757285261,75.429771472388
